Date,Predicted Sales,Lower Bound,Upper Bound
2015-01-03,1510.827937562616,-1089.7429038638486,4133.844698198702
2015-01-04,1174.5099429699853,-1468.5223404895914,3999.9542920072467
2015-01-05,960.2733581703503,-1780.1835341495075,3525.4442547062376
2015-01-06,1216.6489903799081,-1532.5741580703948,3835.8768568210103
2015-01-07,690.512132250579,-1966.7286013603923,3608.673694344999
2015-01-09,599.6005261915357,-1976.269440446867,3426.938378898285
2015-01-10,992.1171388592178,-1610.4291561036214,3783.167425705497
2015-01-11,715.0962092932264,-1845.7078179027767,3493.0260959314114
2015-01-13,889.6879091028858,-1763.0427401690044,3630.1423474196927
2015-01-14,433.9962559879432,-2240.6614567389165,3139.6276663938834
2015-01-15,-143.2281316792596,-2896.214945791558,2595.013090485869
2015-01-16,485.1041339704127,-2181.126192271964,3150.800980564725
2015-01-18,734.1881002231478,-2089.401306671845,3705.7552389615107
2015-01-19,644.3601163586745,-2002.1359097840423,3388.1160265164935
2015-01-20,1022.6709511070396,-1843.6177207875598,3590.1970718760813
2015-01-23,731.8275083995901,-1959.9840369341882,3392.5551636589958
2015-01-26,919.4519380801247,-1762.298440122808,3530.0097625206754
2015-01-27,1287.2922909461215,-1414.051194115523,4132.4375089095965
2015-01-28,858.1026046090414,-1912.8710305709396,3614.4484678597655
2015-01-30,910.6892728879257,-1869.7674368717694,3636.484581987839
2015-01-31,1347.3243602185553,-1265.8860302099697,4156.732718378196
2015-02-01,1095.102550765378,-1586.925931454327,3938.6879994713904
2015-02-02,950.5957669933229,-1772.8174853309506,3778.625318834362
2015-02-03,1261.3926313210447,-1503.5523549262912,3890.2568536139543
2015-02-04,773.7903275112259,-1970.867305144792,3649.9647779043594
2015-02-06,711.8804643774125,-2081.3849445686274,3504.210547876098
2015-02-07,1095.6245508944783,-1678.9879725855687,3845.817303001867
2015-02-08,795.4515220995369,-1968.6080757903203,3499.249063668214
2015-02-11,373.1848285875335,-2286.587478413593,3110.230005702297
2015-02-12,-268.67376865334427,-3092.12700856384,2466.6105561962586
2015-02-14,678.8481091682512,-2088.8849983411783,3418.5553441143857
2015-02-15,394.62645066452126,-2135.471769715059,3219.5211298861896
2015-02-16,235.20673565871562,-2530.814965853846,3004.986845901404
2015-02-17,549.0996868584336,-2242.857473778683,3070.6051801398553
2015-02-18,83.10404202227414,-2656.7545308697263,2858.888453033873
2015-02-20,119.76942189909028,-2630.575686554986,2908.3036386578606
2015-02-21,579.3087642817005,-2003.8742634483726,3308.4053298129465
2015-02-22,371.1187653695672,-2405.0994563793847,3084.630009342215
2015-02-23,291.56773266717437,-2313.4339621998965,2976.7294523824094
2015-02-24,687.5471946058789,-2259.8388088049956,3445.6556853082875
2015-02-27,500.9332741399629,-2150.7420697339094,3304.1150741676056
2015-03-01,894.6087718425094,-1793.8167129393373,3570.8552201322827
2015-03-02,875.8281578656578,-1695.8539860749472,3513.6768592111707
2015-03-03,1323.941572275141,-1585.5283338359768,3989.891236156006
2015-03-04,983.0156904819996,-1750.9541704736102,3953.862082734304
2015-03-05,510.4804279727575,-2035.5187679536805,3508.9025550934803
2015-03-07,1775.3855000846454,-1075.5785970656584,4603.344410133326
2015-03-10,2023.2291865225193,-586.5269813381049,4866.366546333513
2015-03-11,1646.6127507752644,-1109.4893034309714,4334.054037558168
2015-03-14,2277.4541038761863,-398.29838772451063,4948.522990803978
2015-03-15,2066.891019098277,-714.0204409383922,4898.247701677813
2015-03-16,1961.160712976284,-778.9350351421276,4640.395084872311
2015-03-17,2307.762979821804,-348.0929652814682,5126.821461219435
2015-03-18,1852.882717333747,-688.7344348787501,4591.426922385269
2015-03-19,1256.2852448067515,-1633.016310267932,3873.718299009527
2015-03-21,2252.8305446773566,-458.27570059587873,5175.575778842033
2015-03-22,1971.337357442414,-855.499354901831,4511.086929152186
2015-03-23,1799.8056746264813,-927.0980655671342,4418.1424417484195
2015-03-24,2086.79180041815,-532.5129214878191,4793.244314590586
2015-03-25,1579.366178091904,-998.873314117499,4152.886874544808
2015-03-26,937.9927472711145,-1718.1724907668656,3869.664159619464
2015-03-28,1870.093020257758,-989.5657814544687,4695.583573675311
2015-03-29,1569.319522870479,-1126.5500662956429,4363.299408383254
2015-03-30,1387.0579254949484,-1242.7791264167415,4150.323670740026
2015-03-31,1671.5648089522258,-1381.6261368364974,4401.475524450145
2015-04-01,1169.4332387874279,-1665.4927081609028,3864.485185174225
2015-04-02,540.489859192457,-2214.835079772653,3240.6993220654404
2015-04-04,1515.6400520533073,-1162.6907843521174,4128.65504322294
2015-04-05,1243.6176617387282,-1406.1926821054878,3856.794435949262
2015-04-06,1093.5600109292534,-1965.2783990973044,4051.9615655779908
2015-04-07,1412.6538162187683,-1363.9448213064195,4156.3563792278765
2015-04-08,946.4195370132423,-1928.8289889857958,3760.847009636379
2015-04-11,1397.9880443551654,-1227.6496371236813,4202.396677484323
2015-04-12,1157.2642960096737,-1741.9455090661204,3892.7511670766226
2015-04-13,1035.3228170464959,-1695.087324220103,3726.4159299062835
2015-04-15,932.7027755957595,-1663.901480258281,3606.288197012076
2015-04-16,355.60122229909507,-2374.6957795621206,2934.4822525748737
2015-04-18,1417.471278895651,-1157.160423027195,4065.2501619948976
2015-04-19,1178.7495573304602,-1585.1989038180006,3787.4956664720776
2015-04-20,1054.6437832319896,-1644.1137958512656,3870.7819364071797
2015-04-21,1392.1715588626814,-1178.3832299353505,4034.4939066265633
2015-04-22,936.9296622787717,-1957.3259006225294,3594.1209322657
2015-04-23,348.0072523964632,-2418.056639947823,3238.138417425952
